                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1132,                 4.2104,                 2.0478,                      0,                      0,                      0,                      0,                 2.2804,                 4.1697,                 2.6492,                 0.0982,                 0.0002,                 0.0002
                      1,                 2.1025,                 4.2396,                  2.035,                      0,                      0,                      0,                      0,                 2.2636,                 4.1986,                 2.6599,               0.095495,             0.00049505,             0.00049505
                      2,                 1.9934,                 4.1515,                 1.9927,                      0,                      0,                      0,                      0,                 2.2099,                 4.1642,                 2.5667,               0.092784,             0.00078416,             0.00078416
                      3,                 2.1125,                 4.1426,                 2.0488,                      0,                      0,                      0,                      0,                 2.1075,                  4.132,                 2.4669,               0.090067,              0.0010673,              0.0010673
                      4,                 1.9402,                 4.0826,                 1.9294,                      0,                      0,                      0,                      0,                 1.8666,                 4.0761,                 2.2597,               0.087345,              0.0013446,              0.0013446
                      5,                 1.8408,                 4.1555,                 1.8267,                      0,                      0,                      0,                      0,                 1.7013,                 4.0984,                 2.1552,               0.084616,              0.0016158,              0.0016158
                      6,                 1.6944,                 4.0303,                  1.691,                      0,                      0,                      0,                      0,                 1.4739,                 4.0583,                  1.923,               0.081881,              0.0018812,              0.0018812
                      7,                 1.5154,                 3.9827,                 1.5722,                      0,                      0,                      0,                      0,                 1.3707,                 3.9153,                 1.7032,               0.079141,              0.0021406,              0.0021406
                      8,                 1.3714,                    3.9,                 1.4489,                      0,                      0,                      0,                      0,                 1.1404,                 3.7098,                 1.3042,               0.076394,              0.0023941,              0.0023941
                      9,                 1.2873,                 3.8963,                 1.4061,                      0,                      0,                      0,                      0,                 1.1328,                 3.6898,                 1.2709,               0.073642,              0.0026416,              0.0026416
                     10,                 1.2477,                 3.8216,                 1.3913,                0.44149,                0.88182,                0.54825,                 0.2905,                 1.2167,                 3.6859,                 1.3227,               0.070883,              0.0028832,              0.0028832
                     11,                 1.2745,                 3.7293,                 1.3764,                 0.2529,                      1,                0.62774,                0.36409,                 1.1865,                 3.6548,                 1.2933,               0.068119,              0.0031189,              0.0031189
                     12,                 1.2169,                 3.7033,                 1.2948,                0.07213,                      1,                0.64037,                0.39077,                 1.0406,                 3.6094,                 1.2027,               0.065349,              0.0033486,              0.0033486
